,Article Name,view_count,size,min_size,max_size,Article Namespace,page_namespace,page_title,date,edits,minor_edits,view_count_talk,size_talk,min_size_talk,max_size_talk,Article Namespace_talk,page_namespace_talk,page_title_talk,date_talk,edits_talk,minor_edits_talk
404228,DVLP,30.0,61233.0,17124.0,138090.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
3775607,Caraceni_(tribe),7.0,17355.0,9498.0,29774.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
6935724,Talk%3AIdeal_sampler,1.0,6513.0,6513.0,6513.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
9449244,Briar_Cudgeon,1.0,37867.0,37867.0,37867.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5988581,Baldric_of_Dol_%28Bishop%29,1.0,12876.0,12876.0,12876.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
3726661,Arapov%27s_contracture,4.0,18602.0,10787.0,42045.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
3530542,Thiri_Yaza_Dewi,1.0,13250.0,13250.0,13250.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
9948264,E_Fall_fir_sech,1.0,6511.0,6511.0,6511.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5438819,"Majors_Creek,_Queensland_(Townsville)",4.0,17850.0,8208.0,27493.0,0.0,,,20160401,0.0,0.0,1.0,8139.0,8139.0,8139.0,1.0,,,,,
8412898,Rob_Angello,1.0,6493.0,6493.0,6493.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
905786,Lilla_Cabot_Perry,36.0,117860.0,37371.0,254087.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
1514440,Tf-idf,122.0,89550.0,17558.0,175721.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7972585,T%C5%8Dbu_50000_series,6.0,116010.0,116010.0,116010.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7857703,Fitcham_(surname),1.0,6511.0,6511.0,6511.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7113425,John_Madigan_(Gaelic_footballer),1.0,27087.0,27087.0,27087.0,0.0,,,20160401,0.0,0.0,1.0,9478.0,9478.0,9478.0,1.0,,,,,
471271,Dus_Lakh,12.0,10566.0,8575.0,28484.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7547351,Achilles+and+Patroclus,1.0,18290.0,18290.0,18290.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
8731889,Answer_code,2.0,24541.0,24541.0,24541.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7237158,Tssc,1.0,6459.0,6459.0,6459.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5226263,1960_National_Scout_Jamboree,1.0,156277.0,156277.0,156277.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
2208407,Harperrig_Reservoir,3.0,8295.0,8289.0,8298.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
4970935,Hastings_Wicomico,1.0,6504.0,6504.0,6504.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5828651,O_Seetha_Katha,3.0,26067.0,13122.0,51956.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
296341,Capitalist_mode_of_production_(Marxist_theory),148.0,208498.0,24059.0,1638514.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
3201921,Khawaja_Shaikh,11.0,38277.0,13488.0,119325.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
2926208,Band%C5%8D_Prisoner_of_War_camp,1.0,11483.0,11483.0,11483.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
4662221,"Producers,_consumers_and_decomposers",1.0,6555.0,6555.0,6555.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
8584030,Impactor%2Bfor%2Bretractor,1.0,25207.0,25207.0,25207.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
163475,Artificial_disintegration,6.0,7613.0,7612.0,7618.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
10216278,List_of_musical_works_in_unusual_time_signatures/Archive_7,,,,,,,,20160401,0.0,0.0,1.0,11434.0,11434.0,11434.0,1.0,,,,,
6782453,History_of_roc,1.0,6506.0,6506.0,6506.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
2171631,George_Downs,1.0,6779.0,6779.0,6779.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
4242066,Yuval_Zellner,1.0,31851.0,31851.0,31851.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
4187755,The_Citadel_(mountain),2.0,22578.0,22578.0,22578.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
798573,John_Deluca,13.0,20762.0,12776.0,38316.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
1322855,Roderick_Murchison,36.0,91386.0,0.0,328912.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
4031458,Mok_Hoi_Yan,2.0,19358.0,19358.0,19358.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
8307958,Elisabeth_Baldanza,1.0,6512.0,6512.0,6512.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
6147367,Mario_series_characters,1.0,37816.0,37816.0,37816.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
1784026,Yall,7.0,21775.0,15539.0,31130.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5502253,Raymond_Smith,1.0,7002.0,7002.0,7002.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
2865567,206P%2FBarnard%E2%80%93Boattini,1.0,20003.0,20003.0,20003.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
4722808,Song_form,2.0,26682.0,12254.0,41110.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5066580,Mordzia_(surname),1.0,6512.0,6512.0,6512.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
6223922,Sherbert_Test,6.0,35179.0,23450.0,70356.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5477587,Osun_(state),23.0,33930.0,15732.0,78760.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
10213476,Pristimantis_caliginosus,,,,,,,,20160401,0.0,0.0,1.0,7832.0,7832.0,7832.0,1.0,,,,,
292582,Canadian_comics,43.0,271564.0,55484.0,1076560.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
6536800,Pharmacy_Technician_Superpower,1.0,6528.0,6528.0,6528.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
3588195,William_II_of_Bures,3.0,13822.0,7876.0,25714.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7693315,Njan_Ekanaanu,1.0,9271.0,9271.0,9271.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7146976,Max_Heller,10.0,40360.0,13261.0,108949.0,0.0,,,20160401,0.0,0.0,1.0,10151.0,10151.0,10151.0,1.0,,,,,
7016328,Bellasi_F1,3.0,27559.0,14310.0,54057.0,0.0,,,20160401,0.0,0.0,1.0,8348.0,8348.0,8348.0,1.0,,,,,
6735862,Duraid_Kashmoula,1.0,8752.0,8752.0,8752.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7256530,%D4%B9%D5%B8%D6%82%D6%80%D5%AB%D5%B6,1.0,6562.0,6562.0,6562.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
9440359,Baculentulus_breviunguis,1.0,6519.0,6519.0,6519.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
3150042,Information_Systems_Security_Management_Professional,12.0,30547.0,9283.0,143512.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7582530,Chamikles_(surname),1.0,6517.0,6517.0,6517.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5631144,Arbetsf%C3%B6rmedlingen,4.0,10169.0,10161.0,10195.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
4770271,Tsar_Peter_III,1.0,31121.0,31121.0,31121.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7829390,Clubtickets,1.0,6476.0,6476.0,6476.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5796595,Maarrat_al-Nu%27man_District,2.0,11243.0,11234.0,11252.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
195261,Bankeasy,1.0,6471.0,6471.0,6471.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
2187974,Graham_Bonney,9.0,11555.0,10102.0,20216.0,0.0,,,20160401,0.0,0.0,1.0,8816.0,8816.0,8816.0,1.0,,,,,
1769476,Wings_of_Fury,21.0,20293.0,10029.0,53533.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
3660486,%C4%8Cedasai,1.0,41117.0,41117.0,41117.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
2652460,Taichung%E2%80%93Changhua_metropolitan_area,9.0,17640.0,9696.0,33529.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
4064392,"One_gene,_one_polypeptide",2.0,20918.0,20914.0,20923.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
4227221,Wenatchee_Wolves,2.0,6503.0,6499.0,6507.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5565471,Timeline_of_the_Yugoslav_wars,7.0,19851.0,17014.0,34030.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5582427,Wango_tango,3.0,15148.0,15144.0,15152.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
413998,Darkhana_railway_station,2.0,9843.0,9837.0,9849.0,0.0,,,20160401,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,
475996,EZH2,98.0,193533.0,85804.0,484093.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7784789,24_%28season_7%29,1.0,39963.0,39963.0,39963.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
3465240,Sitnica_(Mora%C4%8Da),5.0,13747.0,13737.0,13768.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
6235232,"Spice_Bazaar,_Istanbul",16.0,21459.0,0.0,46636.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5482836,Patricia_Weigum,1.0,8705.0,8705.0,8705.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
4282127,2006_cincinati_reds_season,1.0,30578.0,30578.0,30578.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7337861,Dress_coats,1.0,6491.0,6491.0,6491.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5764599,Jos%C3%A9_Luis_Gonz%C3%A1lez_(runner),3.0,10982.0,10979.0,10989.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
1144408,Nuussuaq_Peninsula,8.0,20327.0,10788.0,38776.0,0.0,,,20160401,0.0,0.0,1.0,25445.0,25445.0,25445.0,1.0,,,,,
5128442,Run_For_Home,3.0,16437.0,10958.0,21916.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
4072358,Painted_Gray_Ware,7.0,51215.0,19868.0,93009.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
859612,Kolpos,13.0,10875.0,0.0,24495.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
1014311,Mary_Kay_Ash,166.0,127474.0,33620.0,504418.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
6218248,Satellite_telephone,8.0,50650.0,26919.0,115436.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
2499967,Perfected,1.0,37556.0,37556.0,37556.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
3679516,1940%E2%80%9341_Primera_Fuerza_season,1.0,12398.0,12398.0,12398.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5963596,AC_Napoli,2.0,288433.0,71516.0,505351.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7136794,London_International_Stamp_Exhibition_(1923),1.0,7821.0,7821.0,7821.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
10081747,Talk%3aCodex_Justinianus,1.0,34374.0,34374.0,34374.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
1649721,Utrivalva_usurpata,3.0,14284.0,8066.0,26715.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5466228,New_2Bseason_2Brevolutions,1.0,6519.0,6519.0,6519.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5177095,Tesseractic_tetracomb,1.0,15338.0,15338.0,15338.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7100113,HyperText_Transfer_Protocol_Secure,1.0,6559.0,6559.0,6559.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
3441412,Santana_Lopes,3.0,17996.0,17993.0,17998.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
688010,Hincharan,1.0,6473.0,6473.0,6473.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7970150,Strozzi_Chapel,2.0,13012.0,13012.0,13012.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
1674208,Vas_Blackwood,69.0,34136.0,10591.0,89733.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
4272233,11man_killstreak_nuketown_2025_black_ops_2_cod_bo2_multiplay,1.0,6618.0,6618.0,6618.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
3476745,Special%3AContributions%2FPolmandc,1.0,73740.0,73740.0,73740.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5640824,Bardigiano_pony,1.0,13743.0,13743.0,13743.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
9534431,Leilah_Waddell,1.0,14926.0,14926.0,14926.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
2641286,Sue_Cornell,2.0,9187.0,9187.0,9187.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
3659609,%C3%98ystein_S%C3%B8rensen,4.0,19149.0,0.0,49859.0,0.0,,,20160401,0.0,0.0,1.0,11228.0,11228.0,11228.0,1.0,,,,,
8426185,SkyDoesMinecraft_Sings_Payphone_Parody!,1.0,6564.0,6564.0,6564.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
3688140,2010_FC_Rostov_season,2.0,38258.0,38258.0,38258.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
1786403,Yehuda_Chitrik,4.0,20235.0,12101.0,44635.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
8801853,Han_Sum,1.0,6485.0,6485.0,6485.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
1808803,%E4%BF%AE%E5%A5%B3%E4%B9%9F%E7%96%AF%E7%8B%822,1.0,6581.0,6581.0,6581.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
3495119,Suprachoroid_lamina,12.0,18394.0,0.0,54355.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
1542074,The_Oath_(Frank_E._Peretti_novel),8.0,23705.0,15695.0,55949.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
9101616,Pass_without_examination,1.0,6520.0,6520.0,6520.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
4734234,Streamer_chamber,1.0,9376.0,9376.0,9376.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
3532965,Three-cushion_carrom,1.0,29444.0,29444.0,29444.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
1729274,Vuka%C5%A1in_%C5%A0o%C5%A1ko%C4%87anin,14.0,43463.0,20353.0,99249.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
9539534,Loans_Poor_Credit_History,1.0,6525.0,6525.0,6525.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
302674,Carolina_Monarchs,10.0,20913.0,12093.0,45726.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
6716777,Constitution_of_Anguilla,3.0,25186.0,25184.0,25190.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7006265,Arcane_Shadows,3.0,15468.0,15460.0,15472.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
1244920,Pratt_%26_Whitney_F100,149.0,118249.0,18724.0,252849.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
9396816,Unieer,1.0,6470.0,6470.0,6470.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
9457142,Chadri,1.0,32223.0,32223.0,32223.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
6623182,WWF_We_Gotta_Wrestle,7.0,12970.0,11117.0,22236.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7831159,Concord_watches_ranking,1.0,6514.0,6514.0,6514.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5307596,Craig_Cohen_(broadcaster),2.0,7351.0,7349.0,7353.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
6033409,Date_%28computing%29,1.0,24158.0,24158.0,24158.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
9468759,Daivonex,1.0,24941.0,24941.0,24941.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
1412569,Sir_(film),64.0,45235.0,11796.0,100635.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5561992,The_Wicked_Lady_%281983_film%29,1.0,12413.0,12413.0,12413.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
1828823,1980_in_Cambodia,2.0,10690.0,10690.0,10690.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
1724308,Vixens,23.0,15413.0,8878.0,35558.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
1904222,Apethorpe_Hall,18.0,24260.0,17467.0,53326.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
3854044,Fairweather-Trevitt_House,2.0,29625.0,10905.0,48346.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
8362040,Leslie_Stokes,2.0,14634.0,7009.0,22259.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
89066,Administrator/components/com_civicrm/civicrm/packages/OpenFlashChart/php-ofc-library/ofc_upload_image.php,3.0,6683.0,6683.0,6684.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
2068255,Delfi-C3,11.0,36826.0,11953.0,110958.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7557680,Arni_Helgason,1.0,8103.0,8103.0,8103.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
3808875,Current_Issues_in_Linguistic_Theory,1.0,6555.0,6555.0,6555.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
1857674,ATCvet_code_QA11CC02,2.0,19876.0,19876.0,19876.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5683443,Dangbang,3.0,11109.0,11106.0,11116.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
1454941,Station_master,35.0,29597.0,8833.0,193888.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
4752520,The_Economy_of_the_Soviet_Union,2.0,50304.0,50304.0,50304.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
10065317,Scottish_placenames_in_Australia,1.0,19289.0,19289.0,19289.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
8938497,Zainichi_Chosen_Football_Club,1.0,17351.0,17351.0,17351.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
222778,Betrayal_(1983_film),36.0,26959.0,13876.0,55532.0,0.0,,,20160401,0.0,0.0,1.0,9983.0,9983.0,9983.0,1.0,,,,,
5582237,Walsh_Family_Library,3.0,10136.0,10134.0,10137.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
4807342,104880,1.0,6474.0,6474.0,6474.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
514679,Esky,45.0,38882.0,13172.0,84907.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
8221828,Vermont_Negotiations,1.0,20261.0,20261.0,20261.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
1679844,"Vehicle_registration_plates_of_the_United_Kingdom,_Crown_dependencies_and_overseas_territories",721.0,1916805.0,250636.0,4260565.0,0.0,,,20160401,0.0,0.0,2.0,36948.0,36948.0,36949.0,1.0,,,,,
402624,DEAP,25.0,20548.0,12317.0,61661.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
79830,Abi_Tucker,45.0,33306.0,13476.0,80826.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
5088091,Operation%20Kalmyk,1.0,9012.0,9012.0,9012.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
1040636,Mice,72.0,128435.0,0.0,377590.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
431847,Democratization,225.0,453164.0,65888.0,805835.0,0.0,,,20160401,0.0,0.0,3.0,37591.0,13490.0,49646.0,1.0,,,,,
7550445,Albert_Anis,2.0,14300.0,14300.0,14300.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
9080966,MethodMan,1.0,35785.0,35785.0,35785.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7853244,Felicia_(catgirl),1.0,21679.0,21679.0,21679.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
7942968,Protoiereus,3.0,28510.0,7825.0,49196.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
9174511,%E9%85%B8%E7%94%9C%E8%8B%A6%E8%BE%A3,1.0,6564.0,6564.0,6564.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
4413487,Dirk_Eddelbuettel,10.0,13378.0,0.0,39205.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
4766489,Totteridge_and_Whetstone_tube_station,9.0,53199.0,18887.0,93468.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
4854262,Balondo,2.0,6470.0,6469.0,6471.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
9539918,Londregan_(surname),1.0,6518.0,6518.0,6518.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
6134540,List_of_World_at_Your_Feet_episodes,3.0,25957.0,17310.0,34604.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
600243,General_discharge,5.0,31765.0,25413.0,50820.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
9618118,The_weather_in_Valencia,1.0,86722.0,86722.0,86722.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
1252439,Private_soldier,4.0,56831.0,28124.0,142952.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
3974863,Larocque,4.0,9884.0,9884.0,9886.0,0.0,,,20160401,0.0,0.0,,,,,,,,,,
